producto,presentacion,marca,categoria,catalogo,precio,fecha_registro,cadena_comercial,giro,nombre_comercial,direccion,estado,municipio,latitud,longitud
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,39.9,25/05/2026,Hipermercado Soriana,Supermercado / Tienda de Autoservicio,Soriana Hiper Sucursal Cimatario,Ctra. a Huimilpan 1001. Int. del Centro Comercial Plaza del Sol. Col. Plazas del Sol. Iii Sección. Cp. 76099,Querétaro,Santiago de Querétaro,20.563227,-100.375284
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,43.5,19/05/2026,Oxxo,Tienda de Conveniencia,Oxxo Sucursal Corregidora 50 Cr,Circuito Moises Solana No. 128. Esq. Gertrudis Bocanegra. Col. Burocratas. Cp. 76070,Querétaro,Santiago de Querétaro,20.57462,-100.384232
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,43.5,26/05/2026,Oxxo,Tienda de Conveniencia,Oxxo Sucursal Corregidora 50 Cr,Circuito Moises Solana No. 128. Esq. Gertrudis Bocanegra. Col. Burocratas. Cp. 76070,Querétaro,Santiago de Querétaro,20.57462,-100.384232
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,43.9,22/05/2026,Superissste,Supermercado / Tienda de Autoservicio,Superissste Sucursal 011,Calle Peluqueros No. 310 Esquina Calle Tizayuca. Col. Michoacána. Cp. 15240,Ciudad de México,Venustiano Carranza,19.446139,-99.113372
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,43.9,22/05/2026,Superissste,Supermercado / Tienda de Autoservicio,Superissste Sucursal 022,Av. del Taller y Retorno No. 38 Dentro del Retorno 38. Col. Jardín Balbuena. Cp. 15900,Ciudad de México,Venustiano Carranza,19.412842,-99.105666
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,45,21/05/2026,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal la Viga,Calz. de la Viga 136 Esq. del Taller. Col. Lorenzo Boturini. Cp. 15820,Ciudad de México,Venustiano Carranza,19.414749,-99.127874
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,45,21/05/2026,Chedraui,Supermercado / Tienda de Autoservicio,Chedraui Sucursal Anfora,Anfora 71. Esq. Eje 1 Norte. Col. Madero. Cp. 15320,Ciudad de México,Venustiano Carranza,19.437353,-99.110088
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,45,28/05/2026,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal la Viga,Calz. de la Viga 136 Esq. del Taller. Col. Lorenzo Boturini. Cp. 15820,Ciudad de México,Venustiano Carranza,19.414749,-99.127874
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,45,28/05/2026,Chedraui,Supermercado / Tienda de Autoservicio,Chedraui Sucursal Anfora,Anfora 71. Esq. Eje 1 Norte. Col. Madero. Cp. 15320,Ciudad de México,Venustiano Carranza,19.437353,-99.110088
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,45,29/05/2026,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Centro Constituyentes,Constituyentes Oriente 334. Entre Pasteur y Manuel Ponce. Col. MercuRío. Cp. 76040,Querétaro,Santiago de Querétaro,20.586349,-100.382801
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,46,20/05/2026,Chedraui,Supermercado / Tienda de Autoservicio,Chedraui Sucursal Centro Sur,Blvd. Bernardo Quintana 502. Carr. con Direccion a Centro Civico. Col. Centro Sur. Cp. 76087,Querétaro,Santiago de Querétaro,20.569354,-100.358831
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,46,21/05/2026,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Aeropuerto,Calz. Ignacio Zaragoza 58. Esq. Blvd. Puerto Aereo. Col. Federal. Cp. 15700,Ciudad de México,Venustiano Carranza,19.41926,-99.094521
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,46,21/05/2026,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Balbuena,Fray Servando Teresa de Mier 881. Entre Fernando Iglesia Calderon y Genaro Garcia. Col. Jardín Balbuena. Cp. 15900,Ciudad de México,Venustiano Carranza,19.418067,-99.105639
