producto,presentacion,marca,categoria,catalogo,precio,fecha_registro,cadena_comercial,giro,nombre_comercial,direccion,estado,municipio,latitud,longitud
A.s.cor,"Frasco Gotero 24 Ml. 1.000 G., Solución Gotas",S/M,Medicamentos,Medicamentos,481,2026/04/08,Chedraui,Supermercado / Tienda de Autoservicio,Chedraui Sucursal Centro Sur,Blvd. Bernardo Quintana 502. Carr. con Direccion a Centro Civico. Col. Centro Sur. Cp. 76087,Querétaro,Santiago de Querétaro,20.569354,-100.358831
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,40.5,2026/04/07,Oxxo,Tienda de Conveniencia,Oxxo Sucursal Corregidora 50 Cr,Circuito Moises Solana No. 128. Esq. Gertrudis Bocanegra. Col. Burocratas. Cp. 76070,Querétaro,Santiago de Querétaro,20.57462,-100.384232
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,40.5,2026/04/14,Oxxo,Tienda de Conveniencia,Oxxo Sucursal Corregidora 50 Cr,Circuito Moises Solana No. 128. Esq. Gertrudis Bocanegra. Col. Burocratas. Cp. 76070,Querétaro,Santiago de Querétaro,20.57462,-100.384232
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,43.9,2026/04/03,Superissste,Supermercado / Tienda de Autoservicio,Superissste Sucursal 011,Calle Peluqueros No. 310 Esquina Calle Tizayuca. Col. Michoacana. Cp. 15240,Ciudad de México,Venustiano Carranza,19.446139,-99.113372
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,43.9,2026/04/03,Superissste,Supermercado / Tienda de Autoservicio,Superissste Sucursal 022,Av. del Taller y Retorno No. 38 Dentro del Retorno 38. Col. Jardin Balbuena. Cp. 15900,Ciudad de México,Venustiano Carranza,19.412842,-99.105666
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,43.9,2026/04/10,Superissste,Supermercado / Tienda de Autoservicio,Superissste Sucursal 011,Calle Peluqueros No. 310 Esquina Calle Tizayuca. Col. Michoacana. Cp. 15240,Ciudad de México,Venustiano Carranza,19.446139,-99.113372
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,43.9,2026/04/10,Superissste,Supermercado / Tienda de Autoservicio,Superissste Sucursal 022,Av. del Taller y Retorno No. 38 Dentro del Retorno 38. Col. Jardin Balbuena. Cp. 15900,Ciudad de México,Venustiano Carranza,19.412842,-99.105666
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,44,2026/04/06,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal la Viga,Calz. de la Viga 136 Esq. del Taller. Col. Lorenzo Boturini. Cp. 15820,Ciudad de México,Venustiano Carranza,19.414749,-99.127874
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,44.9,2026/04/13,Hipermercado Soriana,Supermercado / Tienda de Autoservicio,Soriana Hiper Sucursal Cimatario,Ctra. a Huimilpan 1001. Int. del Centro Comercial Plaza del Sol. Col. Plazas del Sol. Iii Seccion. Cp. 76099,Querétaro,Santiago de Querétaro,20.563227,-100.375284
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,45,2026/04/01,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Centro Constituyentes,Constituyentes Oriente 334. Entre Pasteur y Manuel Ponce. Col. Mercurio. Cp. 76040,Querétaro,Santiago de Querétaro,20.586349,-100.382801
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,45,2026/04/06,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Aeropuerto,Calz. Ignacio Zaragoza 58. Esq. Blvd. Puerto Aereo. Col. Federal. Cp. 15700,Ciudad de México,Venustiano Carranza,19.41926,-99.094521
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,45,2026/04/07,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Unidad Plaza de Toros,Autopista Queretaro Celaya 5501. Int. del Centro Comercial Plaza Esfera. Col. el Jacal. Cp. 76187,Querétaro,Santiago de Querétaro,20.574076,-100.408704
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,45,2026/04/08,Chedraui,Supermercado / Tienda de Autoservicio,Chedraui Sucursal Centro Sur,Blvd. Bernardo Quintana 502. Carr. con Direccion a Centro Civico. Col. Centro Sur. Cp. 76087,Querétaro,Santiago de Querétaro,20.569354,-100.358831
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,45,2026/04/09,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal Queretaro Estadio,Luis M. Vega y Monroy 1300. Esq.cimatario . Col. Cimatario. Cp. 76090,Querétaro,Santiago de Querétaro,20.577804,-100.373626
Aceite,Botella 1 Lt. Vegetal,1_2_3,Aceites y Grasas Veg. Comestibles,Basicos,45,2026/04/15,Chedraui,Supermercado / Tienda de Autoservicio,Chedraui Sucursal Centro Sur,Blvd. Bernardo Quintana 502. Carr. con Direccion a Centro Civico. Col. Centro Sur. Cp. 76087,Querétaro,Santiago de Querétaro,20.569354,-100.358831
Aceite,Botella 750 Ml. Canola,Capullo,Aceites y Grasas Veg. Comestibles,Basicos,45,2026/04/06,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal la Viga,Calz. de la Viga 136 Esq. del Taller. Col. Lorenzo Boturini. Cp. 15820,Ciudad de México,Venustiano Carranza,19.414749,-99.127874
Aceite,Botella 750 Ml. Canola,Capullo,Aceites y Grasas Veg. Comestibles,Basicos,46,2026/04/06,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Aeropuerto,Calz. Ignacio Zaragoza 58. Esq. Blvd. Puerto Aereo. Col. Federal. Cp. 15700,Ciudad de México,Venustiano Carranza,19.41926,-99.094521
Aceite,Botella 750 Ml. Canola,Capullo,Aceites y Grasas Veg. Comestibles,Basicos,46,2026/04/06,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Balbuena,Fray Servando Teresa de Mier 881. Entre Fernando Iglesia Calderon y Genaro Garcia. Col. Jardin Balbuena. Cp. 15900,Ciudad de México,Venustiano Carranza,19.418067,-99.105639
Aceite,Botella 765 Ml. Maíz,Mazola,Aceites y Grasas Veg. Comestibles,Basicos,58,2026/04/06,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Aeropuerto,Calz. Ignacio Zaragoza 58. Esq. Blvd. Puerto Aereo. Col. Federal. Cp. 15700,Ciudad de México,Venustiano Carranza,19.41926,-99.094521
Aceite,Botella 765 Ml. Maíz,Mazola,Aceites y Grasas Veg. Comestibles,Basicos,58,2026/04/06,Wal-mart,Supermercado / Tienda de Autoservicio,Walmart Sucursal Balbuena,Fray Servando Teresa de Mier 881. Entre Fernando Iglesia Calderon y Genaro Garcia. Col. Jardin Balbuena. Cp. 15900,Ciudad de México,Venustiano Carranza,19.418067,-99.105639
Aceite,Botella 765 Ml. Maíz,Mazola,Aceites y Grasas Veg. Comestibles,Basicos,65,2026/04/08,Chedraui,Supermercado / Tienda de Autoservicio,Chedraui Sucursal Centro Sur,Blvd. Bernardo Quintana 502. Carr. con Direccion a Centro Civico. Col. Centro Sur. Cp. 76087,Querétaro,Santiago de Querétaro,20.569354,-100.358831
Aceite,Botella 765 Ml. Maíz,Mazola,Aceites y Grasas Veg. Comestibles,Basicos,65,2026/04/09,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal Queretaro Estadio,Luis M. Vega y Monroy 1300. Esq.cimatario . Col. Cimatario. Cp. 76090,Querétaro,Santiago de Querétaro,20.577804,-100.373626
Aceite,Botella 765 Ml. Maíz,Mazola,Aceites y Grasas Veg. Comestibles,Basicos,65,2026/04/15,Chedraui,Supermercado / Tienda de Autoservicio,Chedraui Sucursal Centro Sur,Blvd. Bernardo Quintana 502. Carr. con Direccion a Centro Civico. Col. Centro Sur. Cp. 76087,Querétaro,Santiago de Querétaro,20.569354,-100.358831
Aceite,Botella 800 Ml. Vegetal,Aurrera,Aceites y Grasas Veg. Comestibles,Basicos,26,2026/04/01,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Centro Constituyentes,Constituyentes Oriente 334. Entre Pasteur y Manuel Ponce. Col. Mercurio. Cp. 76040,Querétaro,Santiago de Querétaro,20.586349,-100.382801
Aceite,Botella 800 Ml. Vegetal,Aurrera,Aceites y Grasas Veg. Comestibles,Basicos,26,2026/04/10,Bodega Aurrera,Supermercado / Tienda de Autoservicio,Bodega Aurrera Sucursal Centro Constituyentes,Constituyentes Oriente 334. Entre Pasteur y Manuel Ponce. Col. Mercurio. Cp. 76040,Querétaro,Santiago de Querétaro,20.586349,-100.382801
